zip
005|2bbd8481
bionicc2|dd878def|Bionic Commando (US set 2)
bioship|e0240ac0|Bio-ship Paladin
bishi|b2f59ff8|Bishi Bashi Championship Mini Game Senshuken
bjourney|19074a08|Blue's Journey / Raguy
bjtwin|f4022877|Bombjack Twin
bking|c26544b5|Birdie King
bking2|e9d37dda|Birdie King 2
bking3|49e2b834|Birdie King 3
bkrtmaq|a3147d17|Bakuretsu Quiz Ma-Q Dai Bouken (Japan)
bktigerb|b3b2adde|Black Tiger (bootleg)
bladestl|06aaf44e|Blades of Steel (version T)
bladstle|a09c7f77|Blades of Steel (version E)
blandia|e10b7590|Blandia
blandiap|7f1d8ef2|Blandia (prototype)
blasted|3c79c3b1|Blasted
blaster|85718a68|Blaster
blastkit|ce9a96ec|Blaster (kit)
blasto|cc694a8e|Blasto
blastoff|e03756ea|Blast Off (Japan)
blazeon|c810a25f|Blaze On (Japan)
blazer|098ca3ee|Blazer (Japan)
blazstar|9dc4fa36|Blazing Star
blckgalb|c9eb7f3b|Block Gal (bootleg)
blckout2|8a022c6b|Block Out (set 2)
blckoutj|292c44ef|Block Out (Japan)
bldwolf|25a017c2|Bloody Wolf (US)
blitz|572433ad|NFL Blitz
blitz2k|e073462c|NFL Blitz 2000
blitz99|0f933364|NFL Blitz '99
blkbustr|72ec9839|BlockBuster
blkdrgnb|fbddc939|Black Dragon (bootleg)
blkdrgon|88b542c8|Black Dragon
blkhole|cca72c59|Black Hole
blkpnthr|703bd4df|Black Panther
blktiger|849c0e57|Black Tiger
blmbycar|1e1f2084|Blomby Car
blmbycau|a7f7a5f8|Blomby Car (not encrypted)
block|376b0627|Block Block (World 911106 Joystick)
blocka|9813e1f2|Block Block (World 910910)
blockade|e303f468|Blockade
blockbl|7f6d8c22|Block Block (bootleg)
blockcar|6b777ff2|Block Carnival / Thunder _ Lightning 2
blocken|eda5b552|Blocken (Japan)
blockhl|738e11b3|Block Hole
blockj|b6573f2b|Block Block (Japan 910910)
blockout|bc295957|Block Out (set 1)
bloodbro|c0aeb86f|Blood Bros.
bloods11|e110e9d2|Blood Storm (v1.10)
bloods21|cdf117c1|Blood Storm (v2.10)
