zip
005|2bbd8481
batrider|516fd51a|Armed Police Batrider (Japan, version B)
batridra|15e54050|Armed Police Batrider (Japan, version A)
batridrk|1526684a|Armed Police Batrider (Korea, version B)
batsugun|22069212|Batsugun
battlan2|2fcff185|Battle Lane! Vol. 5 (set 2)
battlan3|80a1cd84|Battle Lane! Vol. 5 (set 3)
battlane|d0076279|Battle Lane! Vol. 5 (set 1)
battlcry|207bb5e2|Battlecry
battleg|f7f5a0f9|Battle Garegga - Type 2 (Denmark - China) (Tue Apr 2 1996)
battlega|21c4f3f4|Battle Garegga (Europe - USA - Japan - Asia) (Sat Feb 3 1996)
battlegb|e0553186|Battle Garegga (Austria - Hong Kong) (Sat Mar 2 1996)
battlera|ddba2bd8|Battle Rangers (World)
battles|6bc1cf98|Battles
battlex|f6e61e07|Battle Cross
battlntj|842d7f81|Battlantis (Japan)
battlnts|79281207|Battlantis
battroad|62dfc19b|The Battle-Road
batugnsp|7ae306a5|Batsugun (Special Ver.)
bayroute|f0c60a19|Bay Route (set 1)
bbakradu|46594e0f|Battle Bakraid - Unlimited version (Japan) (Tue Jun 8 1999)
bbakraid|0570da0e|Battle Bakraid (Japan) (Wed Apr 7 1999)
bballs|70ab4f51|Bouncing Balls
bbbxing|9b47d8ac|Best Bout Boxing
bbmanw|5e6629ae|Bomber Man World (World)
bbmanwj|12fbc492|Bomber Man World (Japan)
bbonk|b49b8a13|Bigfoot Bonkers
bbprot|39c604b7|Untitled Fighter 'BB' (prototype)
bbros|7c98aba3|Buster Bros. (US)
bbusters|0cdc34b1|Beast Busters (World [Q])
bchopper|bb2ba4e2|Battle Chopper
bcrusher|6f4746c4|Bone Crusher
bcruzm12|844dd296|Battle Cruiser M-12
beaminv|51c74ff3|Beam Invader
beastf|c4c97703|Beastie Feastie
beathead|fe798ebd|BeatHead (prototype)
beezer|1a765c9a|Beezer (set 1)
beezer1|d2e78447|Beezer (set 2)
benberob|40bc4dd7|Ben Bero Beh (Japan)
berabohm|4079efe4|Beraboh Man (Japan version C)
beraboho|6e40aa36|Beraboh Man (Japan version B)
berlwall|4e3fe85c|The Berlin Wall (set 1)
berlwalt|9b1331a6|The Berlin Wall (set 2)
