sms
20 em 1 (Brazil)|F0F35C22
Ghost House (USA, Europe, Brazil)|F1F8FF2D
Ghost House (USA, Europe, Brazil) (Beta)|C3E7C1ED
Ghostbusters (USA, Europe, Brazil)|1DDC3059
Ghouls'n Ghosts (USA, Europe, Brazil)|7A92EBA6
Ghouls'n Ghosts (USA, Europe, Brazil) (Demo)|38418B1C
Global Defense (USA, Europe, Brazil)|B746A6F5
Global Defense (USA, Europe, Brazil) (Beta)|91A0FC4E
Global Gladiators (Europe, Brazil)|B67CEB76,MK-27062
Gokuaku Doumei Dump Matsumoto (Japan)|A249FA9D,G-1302
Golden Axe (USA, Europe, Brazil)|C08132FB
Golden Axe Warrior (USA, Europe, Brazil)|C7DED988
Golfamania (Europe) (Beta)|5DABFDC3
Golfamania (Europe, Brazil)|48651325,7502
Golvellius (USA, Europe)|A465CD07
Golvellius - Valley of Doom (USA, Europe, Brazil)|A51376FE
GP Rider (Europe, Brazil)|EC2DA554,9013
Great Baseball (Japan)|89E98A7C,G-1323
Great Baseball (USA, Europe)|10ED6B57
Great Basketball (World)|2AC001EB,5071
Great Football (World)|2055825F,5058
Great Golf (Japan)|6586BD1F,G-1332
Great Golf (Korea) (En) (Unl)|5DEF1BF5
Great Golf (World)|98E4AE4A,5057
Great Golf (World) (Beta)|4847BC91
Great Ice Hockey (Japan, USA)|946B8C4A
Great Soccer (Europe)|0ED170C9,4082
Great Soccer (Japan)|2D7FD7EF,C-504
Great Soccer (Taiwan) (Unl)|84665648
Great Tennis (Japan)|95CBF3DD
Great Volleyball (Japan)|6819B0C0,G-1317
Great Volleyball (USA, Europe, Brazil)|8D43EA95
Gun.Smoke (Korea) (En) (Unl)|3AF7CCAD
Haja no Fuuin (Japan)|B9FDF6D9,G-1331
Hang On & Astro Warrior (USA)|1C5059F0,6001
Hang On & Safari Hunt (USA)|E167A561,6002
Hang On & Safari Hunt (USA) (Beta)|A120B77F
Hang On (Europe)|071B045E,4580
Hang On (Europe) (Beta)|649F29E8
Hang On (Japan)|5C01ADF9,C-502
Heavyweight Champ (Europe, Brazil)|FDAB876A,MK-27041-50
Heroes of the Lance (Europe, Brazil)|CDE13FFB,29003
Heroes of the Lance (Europe, Brazil) (Beta)|9611BEBD
High School! Kimengumi (Japan)|8A296A3E,9EB1AA4F,G-1309
Hokuto no Ken (Japan)|D3C17B48,24F5FE8C,G-1303
Hokuto no Ken (Taiwan) (Unl)|C4AB363D
Home Alone (Europe)|C9DBF936,7109
Hong Kil Dong (Korea) (Unl)|8040B2FA
Hook (Europe) (Proto)|9CED34A7
Hoshi wo Sagashite... (Japan)|955A009E,G-1354
Hoshi wo Sagasite... (Japan)|B5CE862F
Hwarang-ui Geom (Korea) (Unl)|E4B7C56A,GB-2358
Impossible Mission (Europe, Brazil)|64D6AF3B,25007
Impossible Mission (Europe, Brazil) (Beta)|71C4CA8F
Incredible Crash Dummies, The (Europe, Brazil)|B4584DDE,MK-27057
Incredible Hulk, The (Europe, Brazil)|BE9A7071,29016-50
Indiana Jones and the Last Crusade (Europe, Brazil)|8AEB574B,27008
Indiana Jones and the Last Crusade (USA) (Proto)|ACEC894D
James 'Buster' Douglas Knockout Boxing (USA)|6A664405
James 'Buster' Douglas Knockout Boxing (USA) (Sample)|CFB4BD7B
James Bond 007 - The Duel (Brazil)|8FEFF688
James Bond 007 - The Duel (Europe)|8D23587F,MK-27046
James Pond 2 - Codename RoboCod (Europe, Brazil)|102D5FEA,29013-50
Jang Pung 3 (Korea) (Unl)|18FB98A3
Jang Pung II (Korea) (Unl)|929222C4
Janggun-ui Adeul (Korea) (Unl)|192949D5
Joe Montana Football (USA, Europe, Brazil)|0A9089E5
Jogos de Verao II (Brazil)|45C50294
Jungle Book, The (Europe, Brazil)|695A9A15,MK-27069
Jurassic Park (Europe, Brazil)|0667ED9F,9030
Kenseiden (Japan)|05EA5353,G-1358
Kenseiden (USA, Europe, Brazil)|516ED32E
King & Balloon (Korea) (En) (Unl)|0AE470E5
King's Quest - Quest for the Crown (USA)|F8D33BC4,4360
King's Quest - Quest for the Crown (USA) (Beta)|B7FE0A9D
KLAX (Europe)|2B435FD6,301040
Knightmare II - The Maze of Galious (Korea) (Unl)|F89AF3CC
Krusty's Fun House (Europe, Brazil)|64A585EB,MK-27056
Kujaku Ou (Japan)|D11D32E4,G-1366
Kung Fu Kid (Taiwan) (En) (Unl)|4762E022
Kung Fu Kid (USA, Europe, Brazil)|1E949D1F
Land of Illusion Starring Mickey Mouse (Europe, Brazil)|24E97200,9014
Laser Ghost (Europe)|0CA95637,7074
Legend of Illusion Starring Mickey Mouse (Brazil)|6350E649
Lemmings (Europe) (Beta)|2C61ED88
Lemmings (Europe, Brazil)|F369B2D8,7108
Lemmings 2 - The Tribes (Europe) (Proto) (1995-09-04)|CF5AECCA
Line of Fire (Europe, Brazil)|CB09F355,9006
Lion King, The (Europe, Brazil)|C352C7EB,MK-27081
Lord of Sword (Japan)|AA7D6F45,G-1361
Lord of Sword (Taiwan) (Ja) (Unl)|7EAED675
Lord of the Sword (USA, Europe, Brazil)|E8511B08
